Topic,Count,Name,Representation,Representative_Docs
85,14,85_blown_iranian_water_iranians,"['blown', 'iranian', 'water', 'iranians', '1991', 'spaceno', 'keenetic', 'desperation', 'warningwhy', 'kimtubof']","['Have these iranian fucks failed to remember 1991? Without a single shot fired, we could bring them to their knees..How about 1 or 2 keenetic energy dropped from space..No sound, no warning..Why do you think Kim-Tub-of lard stopped talking stupid!', 'Have these iranian fucks failed to remember 1991? Without a single shot fired, we could bring them to their knees..How about 1 or 2 keenetic energy dropped from space..No sound, no warning..Why do you think Kim-Tub-of lard stopped talking stupid!', 'Have these iranian fucks failed to remember 1991? Without a single shot fired, we could bring them to their knees..How about 1 or 2 keenetic energy dropped from space..No sound, no warning..Why do you think Kim-Tub-of lard stopped talking stupid!']"
86,14,86_china_empire_through_taiwan,"['china', 'empire', 'through', 'taiwan', 'usa', 'whore', 'uk', 'far', 'provoking', 'desperately']","[""Oh, my. USA whore empire is playing with fire provoking my beloved China through using Taiwan as a tool. I don't wanna die and that's why I extremely abhor USA and UK whore empire. I desperately Jesus come back now immediately for consuming USA and UK through solar superstorm."", ""Oh, my. USA whore empire is playing with fire provoking my beloved China through using Taiwan as a tool. I don't wanna die and that's why I extremely abhor USA and UK whore empire. I desperately Jesus come back now immediately for consuming USA and UK through solar superstorm."", ""Oh, my. USA whore empire is playing with fire provoking my beloved China through using Taiwan as a tool. I don't wanna die and that's why I extremely abhor USA and UK whore empire. I desperately Jesus come back now immediately for consuming USA and UK through solar superstorm.""]"
87,14,87_may_upon_allah_india,"['may', 'upon', 'allah', 'india', 'cows', 'curses', 'pricks', 'fam', 'devilishsj', 'destruction']","[""@devilishsj_ fam one time i'll go india and slit the cows throats in front of them bunch of useless pricks wallahi may the curses of allah be upon them"", ""@devilishsj_ fam one time i'll go india and slit the cows throats in front of them bunch of useless pricks wallahi may the curses of allah be upon them"", ""@devilishsj_ fam one time i'll go india and slit the cows throats in front of them bunch of useless pricks wallahi may the curses of allah be upon them""]"
88,14,88_her_somalia_she_deport,"['her', 'somalia', 'she', 'deport', 'cunt', 'addressed', 'douche', 'welcomed', 'warlord', 'brusban']","['Deport her send her back to Somalia she is a terrorist piece of shit.', 'Deport her send her back to Somalia she is a terrorist piece of shit.', 'Deport her send her back to Somalia she is a terrorist piece of shit.']"
89,13,89_indian_air_cup_varghese,"['indian', 'air', 'cup', 'varghese', 'jancy', 'bitch', 'scumbag', 'stinky', 'sister', 'cunt']","['That indian bitch is just a dumb cunt', '+Jancy Varghese you shit eating stinky Indian scumbag. Go and fuck your sister.', '+Jancy Varghese you shit eating stinky Indian scumbag. Go and fuck your sister.']"
90,13,90_soon_kashmiri_indian_kashmir,"['soon', 'kashmiri', 'indian', 'kashmir', 'remain', 'occupation', 'bullets', 'terrorism', 'orgasming', 'reach']","['Indian cunts and dickheads orgasming over developing the occupied and annexed #Kashmir so they can settle there while the Kashmiri natives remain locked down in their houses with the Indian occupation forces roaming the streets. You fucking fascists. May this reach your homes. URL', 'Indian cunts and dickheads orgasming over developing the occupied and annexed #Kashmir so they can settle there while the Kashmiri natives remain locked down in their houses with the Indian occupation forces roaming the streets. You fucking fascists. May this reach your homes. URL', 'Indian cunts and dickheads orgasming over developing the occupied and annexed #Kashmir so they can settle there while the Kashmiri natives remain locked down in their houses with the Indian occupation forces roaming the streets. You fucking fascists. May this reach your homes. URL']"
91,12,91_aussie_faggot_trash_hahaha,"['aussie', 'faggot', 'trash', 'hahaha', 'love', 'fun', 'inbred', 'bag', 'kin', 'disown']","['Australia, you are a repulsive gang of racist homophobic misogynist White Trash Unrepentant Land Thieves, and I disown you as my kin #auspol #PoliticsHQ #australiavotes2019', ""Love me some fat Aussie pussy. How about if You Aussies lose today though you suck my cock and if you win I'm a slave to that pussy for a week?"", ""Love me some fat Aussie pussy. How about if You Aussies lose today though you suck my cock and if you win I'm a slave to that pussy for a week?""]"
92,12,92_colder_camcoles_somebody_faced,"['colder', 'camcoles', 'somebody', 'faced', 'name', 'immigrant', 'monkey', 'know', 'dont', 'what']","[""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant"", ""@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant""]"
93,12,93_afghanistan_troops_undearaged_precious,"['afghanistan', 'troops', 'undearaged', 'precious', 'peasants', 'illiterates', 'injustice', 'slapped', 'elliot', 'shitrael']","['@Elliot Make it look easy, LMAO. US was bitch slapped by undearaged peasants in Vietnam and is about to be kicked out of Afghanistan by illiterates armed with AK47s. One wrong move and entire middle east will burn including your precious Shitrael.', '@Elliot Make it look easy, LMAO. US was bitch slapped by undearaged peasants in Vietnam and is about to be kicked out of Afghanistan by illiterates armed with AK47s. One wrong move and entire middle east will burn including your precious Shitrael.', '@Elliot Make it look easy, LMAO. US was bitch slapped by undearaged peasants in Vietnam and is about to be kicked out of Afghanistan by illiterates armed with AK47s. One wrong move and entire middle east will burn including your precious Shitrael.']"
94,12,94_pussy_approval_embarrassment_permission,"['pussy', 'approval', 'embarrassment', 'permission', 'trumps', 'takes', 'harbor', 'nailed', 'pearl', 'pussys']","['No one needs approval or permission from a pussy country like America they are a joke and an embarrassment who no one takes America trumps a pussy lol', 'No one needs approval or permission from a pussy country like America they are a joke and an embarrassment who no one takes America trumps a pussy lol', 'No one needs approval or permission from a pussy country like America they are a joke and an embarrassment who no one takes America trumps a pussy lol']"
95,12,95_chinese_worked_bloodline_western,"['chinese', 'worked', 'bloodline', 'western', 'china', 'democratise', 'malls', 'pee', 'properties', 'beneath']","['The world should stop living in illusions that China will democratise one day in the future. NO, it\'s just impossible. Chinese people worship ""Great Power"". They enjoying seeing and bullying other people beneath them.  URL', ""Canada has sold out to foreign dirty money and it's sad. All you have to do is look at every place where there's Chinatowns and mainland Chinese that buy up properties and you'll see that they have zero western values and will continue to do this shit.  \u200b I worked in China for years and even in the most luxurious malls you'd have people having their kids pee or poop in a bag while the bathroom is fuckin 50 feet away.  \u200b This is the very fundamentals of Chinese business - cut all the costs you can. I worked with loads of Chinese businesses and not a single time did they not try to rip me off."", ""Canada has sold out to foreign dirty money and it's sad. All you have to do is look at every place where there's Chinatowns and mainland Chinese that buy up properties and you'll see that they have zero western values and will continue to do this shit.  \u200b I worked in China for years and even in the most luxurious malls you'd have people having their kids pee or poop in a bag while the bathroom is fuckin 50 feet away.  \u200b This is the very fundamentals of Chinese business - cut all the costs you can. I worked with loads of Chinese businesses and not a single time did they not try to rip me off.""]"
96,12,96_dream_looting_pakistan_economy,"['dream', 'looting', 'pakistan', 'economy', 'url', 'ass', 'iverson', 'sharkboy', 'russel', 'cucci']","[""Russel posted iverson in Cucci sneakerz 🤦 u don't have the Answerz kid. u might think u want this press til u get pressed bitch 🙅 put them tariffz on ya scary story posting canadian asian ass"", '@iamnotmiguelh Fucking paki cunt. You my manz look like the robot from SharkBoy and Lava Girl  DREAM DREAM DREAM DREAM DREAM DREAM 😴😴 URL', '@iamnotmiguelh Fucking paki cunt. You my manz look like the robot from SharkBoy and Lava Girl  DREAM DREAM DREAM DREAM DREAM DREAM 😴😴 URL']"
97,12,97_john_inbreeding_gross_its,"['john', 'inbreeding', 'gross', 'its', 'family', 'grossly', 'rofl', 'handicap', 'triggered', 'mamo']","[""@John Mamo ROFL!!! Another triggered princess from Dumberica. Is everybody there is stupid as you want to John? The other 95% of the world's population thinks it's due to gross inbreeding in that shitholecountry. I'd start by talking to your mommies and tell them to stop f****** family members or quite possibly the family dog. It's evident that it's making her Offspring completely f****** stupid. However there's the off-chance that you are grossly retarded and I guess sorry for your handicap"", ""@John Mamo ROFL!!! Another triggered princess from Dumberica. Is everybody there is stupid as you want to John? The other 95% of the world's population thinks it's due to gross inbreeding in that shitholecountry. I'd start by talking to your mommies and tell them to stop f****** family members or quite possibly the family dog. It's evident that it's making her Offspring completely f****** stupid. However there's the off-chance that you are grossly retarded and I guess sorry for your handicap"", ""@John Mamo ROFL!!! Another triggered princess from Dumberica. Is everybody there is stupid as you want to John? The other 95% of the world's population thinks it's due to gross inbreeding in that shitholecountry. I'd start by talking to your mommies and tell them to stop f****** family members or quite possibly the family dog. It's evident that it's making her Offspring completely f****** stupid. However there's the off-chance that you are grossly retarded and I guess sorry for your handicap""]"
98,12,98_politics_fuck_israel_lds,"['politics', 'fuck', 'israel', 'lds', 'poser', 'boards', 'actual', 'religion', 'lapdogs', 'as']","['Fuck Israel and fuck religion in politics.', 'As an actual Jew, fuck you and fuck Israel. Go back to your LDS boards, you fucking poser.', 'As an actual Jew, fuck you and fuck Israel. Go back to your LDS boards, you fucking poser.']"
99,12,99_ancestors_long_norsechad_bozo,"['ancestors', 'long', 'norsechad', 'bozo', 'betaswedes', 'lineage', 'faggy', 'slap', 'outta', 'fat']","[""Ya maybe your ancestors were faggy little cuck beta-swedes, but my long ship long dick, Norse-chad ancestors. Would slap the fuck outta ur whole lineage, don't come around me or my friends every again bozo."", ""Ya maybe your ancestors were faggy little cuck beta-swedes, but my long ship long dick, Norse-chad ancestors. Would slap the fuck outta ur whole lineage, don't come around me or my friends every again bozo."", ""Ya maybe your ancestors were faggy little cuck beta-swedes, but my long ship long dick, Norse-chad ancestors. Would slap the fuck outta ur whole lineage, don't come around me or my friends every again bozo.""]"
100,12,100_map_wipe_iran_messing,"['map', 'wipe', 'iran', 'messing', 'off', 'its', 'time', 'part', 'gangsters', 'gird']","[""It's time to stop messing with these idiots in Iran. Wipe them off the map."", ""It's time to stop messing with these idiots in Iran. Wipe them off the map."", ""It's time to stop messing with these idiots in Iran. Wipe them off the map.""]"
101,11,101_politicians_youve_pond_uk,"['politicians', 'youve', 'pond', 'uk', 'brit', 'own', 'preferential', 'policies', 'panty', 'moslems']","[""Fucking panty waste UK politicians can suck a dick! They sold out their own people for a shit god, preferential rights for moslems. Look at your own policies, calling Trump anything just shows your own dumbmotherfuckery. Stand up UK citizens and take your fucking country back! For nearly 2000 years you've fought off every invader in the world but now your politicians have gone ass up for allah. Some of the greatest kings to ever walk the earth you've decended from, they'd roll over in their graves if they knew"", ""Fucking panty waste UK politicians can suck a dick! They sold out their own people for a shit god, preferential rights for moslems. Look at your own policies, calling Trump anything just shows your own dumbmotherfuckery. Stand up UK citizens and take your fucking country back! For nearly 2000 years you've fought off every invader in the world but now your politicians have gone ass up for allah. Some of the greatest kings to ever walk the earth you've decended from, they'd roll over in their graves if they knew"", ""Fucking panty waste UK politicians can suck a dick! They sold out their own people for a shit god, preferential rights for moslems. Look at your own policies, calling Trump anything just shows your own dumbmotherfuckery. Stand up UK citizens and take your fucking country back! For nearly 2000 years you've fought off every invader in the world but now your politicians have gone ass up for allah. Some of the greatest kings to ever walk the earth you've decended from, they'd roll over in their graves if they knew""]"
102,11,102_syria_yall_worry_foul,"['syria', 'yall', 'worry', 'foul', 'popcorn', 'hells', 'wence', 'wrap', 'special', 'aint']","[""Please go back from wence you came. You foul vile ... woman? You are a terrorist living in America. Hells got a special place for you.. And it ain't in America. Should wrap you in an American flag and drop you in Syria. Then just get the popcorn out and watch the show."", ""Please go back from wence you came. You foul vile ... woman? You are a terrorist living in America. Hells got a special place for you.. And it ain't in America. Should wrap you in an American flag and drop you in Syria. Then just get the popcorn out and watch the show."", ""Please go back from wence you came. You foul vile ... woman? You are a terrorist living in America. Hells got a special place for you.. And it ain't in America. Should wrap you in an American flag and drop you in Syria. Then just get the popcorn out and watch the show.""]"
103,11,103_mexico_minefield_shithole_icce,"['mexico', 'minefield', 'shithole', 'icce', 'southern', 'exactly', 'border', 'dump', 'left', 'beezus']","['Keep Mexico A Shithole!! We need a minefield at the southern border!!', 'Keep Mexico A Shithole!! We need a minefield at the southern border!!', 'Keep Mexico A Shithole!! We need a minefield at the southern border!!']"
104,10,104_germany_xstrawberrylou_asson_streeets,"['germany', 'xstrawberrylou', 'asson', 'streeets', 'nazi', 'move', 'motherfucker', 'dick', 'where', 'take']","['@xstrawberrylou Than move out motherfucker, go to Germany where you can take a dick in the asson the streeets,,....', '@xstrawberrylou Than move out motherfucker, go to Germany where you can take a dick in the asson the streeets,,....', '@xstrawberrylou Than move out motherfucker, go to Germany where you can take a dick in the asson the streeets,,....']"
105,10,105_russia_both_israel_fuck,"['russia', 'both', 'israel', 'fuck', 'theyre', 'america', 'evil', 'pieces', 'nobodys', 'satan']","['fuck america and israel and russia', 'fuck america and israel and russia', 'fuck america and israel and russia']"
